"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Source","Do you mainly b..  [Play by myself]","Do you mainly b..  [Share with others]","On average, how.. ","What kind of co..  [Construction (e.. ]","What kind of co..  [Technical const.. ]","What kind of co..  [Mods or plugins]","What kind of co..  [Texture packs o.. ]","What kind of co..  [Entire Worlds]","What kind of co..  [I don't create .. ]","What kind of co..  [Other]","Have you ever b.. ","Would you consi.. ","Creating conten.. ","Creating conten.. ","I feel like I'm.. ","I feel a sense .. ","I feel a sense .. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I think creatin.. ","I learn new thi.. ","I gain experien.. ","I can improve m.. ","Creating conten.. ","I find the expe.. ","I find the expe.. ","I find the expe.. ","Creating conten.. ","I find the expe.. ","My content crea.. ","Creating conten.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I can forget ab.. ","I can get away .. ","I can get away .. ","Creating conten.. ","My content crea.. ","My content crea.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","I can show othe.. ","I can help othe.. ","I can let peopl.. ","My content crea.. ","My content crea.. ","I gain extra in.. ","I intend to con.. ","I would like to.. ","My intention is.. ","I will say posi.. ","I will recommen.. ","I will refer my.. ","I keep in touch.. ","I communicate w.. ","I keep in conta.. ","Creating conten.. ","I meet new peop.. ","I make new acqu.. ","In which countr.. ","How old are you?","Which gender do.. ","Which gender do..  [Other]","On average, how.. ","When did you st.. ","Last time I cre.. ","On average, how.. ","Total time","Group time: Step 1","Question time: SC","Question time: CC1","Question time: CC2","Question time: CC3","Question time: .. ","Question time: .. ","Group time: Step 2","Question time: PT1","Question time: PT2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 3","Question time: ID1","Question time: ID2","Question time: ID3","Question time: PA1","Question time: PA2","Question time: PA3","Group time: Step 4","Question time: SD1","Question time: SD2","Question time: SD3","Question time: SD4","Question time: PA4","Group time: Step 5","Question time: .. ","Question time: .. ","Question time: .. ","Question time: SE1","Question time: .. ","Question time: .. ","Group time: Step 6","Question time: SE3","Question time: .. ","Question time: SE5","Question time: SE4","Question time: SE2","Question time: SE6","Group time: Step 7","Question time: ES1","Question time: ES2","Question time: ES3","Question time: ES4","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 8","Question time: PT3","Question time: PT4","Group time: Step 9","Question time: HB1","Question time: HB2","Question time: HB3","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: CI1","Question time: CI3","Question time: CI2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: PD6","Question time: PD1","Question time: PD2","Question time: .. ","Question time: PD4","Question time: PD5","Question time: .. "
"11","2024-12-21 16:35:59","12","en","1184188716","2024-12-21 16:05:36","2024-12-21 16:35:59",,"","Yes","No","1","No","No","No","No","No","Yes","","No","No","4","4","3","4","3","3","4","3","3","3","2","4","4","4","3","2","4","4","3","2","4","1","4","1","3","4","4","4","4","4","4","5","1","2","3","4","5","3","3","3","1","1","1","4","4","4","4","3","2","4","3","3","3","2","4","Germany ","17","Female","","0","2021-02-25 00:00:00","In the last 6 months","0","1827.18","272.1",,,,,,,,,,,,,,,,,,,,,,,,,,"67.53",,,,,,,"46.07",,,,,,,"112.82",,,,,,,,,,,"164.88",,,,,,,"56.32",,,,,,,"89.82",,,,,,,"1017.64",,,,,,,
"12","2024-12-21 22:46:49","12","en","101244527","2024-12-21 22:39:20","2024-12-21 22:46:49",,"","Yes","No","2","Yes","No","No","No","No","No","","Yes","Yes","2","2","4","5","5","5","3","4","4","5","2","5","4","5","4","3","3","3","4","2","5","1","5","1","1","5","2","2","3","4","4","5","2","4","3","3","4","1","2","1","1","1","1","5","4","2","5","4","4","2","3","2","3","4","2","Germany","24","Male","","0","2024-07-17 00:00:00","This month","0","450.74","59.05",,,,,,,,,,,,,"77.91",,,,,,,"69.96",,,,,,"50.08",,,,,,,,,,,,,,"56.28",,,,,,,,,,,"41.42",,,,,,,"42.96",,,,,,,,,,,,,,"53.08",,,,,,,
"13","2024-12-26 12:10:27","12","en","1748330065","2024-12-26 11:59:42","2024-12-26 12:10:27",,"","Yes","No","20","Yes","No","No","No","Yes","No","I Got my own Build team and we do commissions for large servers and companies","Yes","Yes","1","3","5","3","1","2","5","3","5","5","5","5","5","5","2","5","3","3","2","1","2","5","1","2","1","3","1","1","1","1","1","1","2","1","5","2","1","4","5","1","5","5","5","5","3","5","5","5","4","1","2","2","2","5","3","Denmark","23","Male","","0","2012-01-16 00:00:00","This week","0","470.36","57.76",,,,,,,"41.61",,,,,,"47.98",,,,,,,"22.86",,,,,,,,,,,,,"8.46",,,,,,,"69.36",,,,,,,,,,,,,,,,,,"37.1",,,,,,,"64.9",,,,,,,"120.33",,,,,,,
"14",,"0","en","853460688","2024-12-26 12:14:11","2024-12-26 12:15:24",,"","No","No",,"No","No","No","No","No","No","","N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.19","5.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15","2024-12-26 14:44:29","12","en","947218822","2024-12-26 14:38:58","2024-12-26 14:44:29",,"","Yes","Yes","12","No","No","No","Yes","No","No","","No","No","5","5","3","5","4","4","4","3","2","1","2","4","5","5","4","1","5","4","4","5","4","1","4","3","4","3","3","4","2","3","5","2","3","2","2","5","3","3","4","4","1","1","1","5","5","4","5","5","5","2","5","4","4","4","5","China, Hong Kong SAR","23","Male","","3500","2015-01-01 00:00:00","Today","0","331","33.87",,,,,,,,,,,,,"16.01",,,,,,,,,,,,,,,,,,,,"24.81",,,,,,,"44.8",,,,,,,,"18.25",,,"23.73",,,,,,,"21.65",,,,,,,"51.99",,,,,,,"95.89",,,,,,,
"16","2024-12-26 15:04:08","12","en","26075504","2024-12-26 14:46:54","2024-12-26 15:04:08",,"","Yes","Yes","8","Yes","No","Yes","Yes","No","No","","Yes","Yes","5","5","3","4","4","3","5","5","3","4","4","5","5","5","5","3","5","5","5","3","4","3","4","4","4","4","5","4","1","1","3","5","3","3","2","5","3","4","4","4","3","3","3","5","5","5","5","5","4","3","4","4","5","5","5","Currently Russia, but Maybe I'll live in Germany","15","Male","","0","2020-09-24 00:00:00","This week","0","1032.78","83.77",,,,,,,,,,,,,"153.02",,,,,,,,,,,,,"31.75",,,,,,,"122.85",,,,,,,"181.85",,,,,,,,,,,,,,,,,,"62.28",,,,,,,"128.71",,,,,,,"268.55",,,,,,,
"17",,"2","en","221964011","2024-12-26 18:16:46","2024-12-26 18:19:24",,"","No","Yes","12","Yes","No","No","No","No","No","","Yes","Yes",,,,,,,"2",,,,,,,,"4",,,,,,,"4",,,"1",,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,"158.07","76.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","2024-12-27 00:19:05","12","en","1915244106","2024-12-27 00:11:40","2024-12-27 00:19:05",,"","Yes","Yes","12","Yes","No","No","No","No","Yes","Posting on social media","Yes","Yes","5","5","3","3","1","3","2","4","2","3","1","4","4","4","5","1","5","5","4","3","5","1","3","1","2","3","3","2","5","3","4","4","1","1","3","4","5","3","2","2","1","1","1","3","3","3","4","2","4","1","4","4","3","5","5","United States of America","16","Male","","0",,"Yesterday","0","448.67","59.81",,,,,,,"40.05",,,,,,"20.92",,,,,,,,,,,,,"18.85",,,,,,,,,,,,,,"63.45",,,,,,,,"15.74",,,"6.99",,,,,,,"20.56",,,,,,,"14.4",,,,,,,"187.9",,,,,,,
"19",,"2","en","1648965635","2024-12-27 01:51:13","2024-12-27 01:52:22",,"","No","Yes","3","No","No","No","Yes","No","No","","Yes","No",,,"3",,"4",,,,,,,,,,,,,,,,,,,"2",,,"3",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70.4","37.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20",,"-1","en","1235651341","2024-12-28 12:39:58","2024-12-28 12:40:40",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,"",,"",,,,,,,,,,,,,"",,,,,,,,"",,,,,"",,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,,"40.84",,,,,,,,"40.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21",,,"en","1046249279","2024-12-28 14:48:27","2024-12-28 14:48:27",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22",,"2","en","1716701161","2024-12-28 15:17:47","2024-12-28 15:53:24",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","No",,,,,,,,,,,,,,,,,,,,"1","4",,,"1",,,,,"1",,,,,,,,,,,,,,,"3","3","4","4","3","5",,,,,,,,,,,,,,,"2138.39",,,,,,,,,,,,,,,,,,,,,,,,,,,"400.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1737.91",,,,,,,,,,,,,,,,,,,,,
