"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Referrer URL","Source","Do you mainly b..  [Play by myself]","Do you mainly b..  [Share with others]","On average, how.. ","What kind of co..  [Construction (e.. ]","What kind of co..  [Technical const.. ]","What kind of co..  [Mods or plugins]","What kind of co..  [Texture packs o.. ]","What kind of co..  [Entire Worlds]","What kind of co..  [I don't create .. ]","What kind of co..  [Other]","Have you ever b.. ","Would you consi.. ","Creating conten.. ","Creating conten.. ","I feel like I'm.. ","I feel a sense .. ","I feel a sense .. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I think creatin.. ","I learn new thi.. ","I gain experien.. ","I can improve m.. ","Creating conten.. ","I find the expe.. ","I find the expe.. ","I find the expe.. ","Creating conten.. ","I find the expe.. ","My content crea.. ","Creating conten.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","Creating conten.. ","I can forget ab.. ","I can get away .. ","I can get away .. ","Creating conten.. ","My content crea.. ","My content crea.. ","My content crea.. ","Creating conten.. ","Creating conten.. ","I can show othe.. ","I can help othe.. ","I can let peopl.. ","My content crea.. ","My content crea.. ","I gain extra in.. ","I intend to con.. ","I would like to.. ","My intention is.. ","I will say posi.. ","I will recommen.. ","I will refer my.. ","I keep in touch.. ","I communicate w.. ","I keep in conta.. ","Creating conten.. ","I meet new peop.. ","I make new acqu.. ","In which countr.. ","How old are you?","Which gender do.. ","Which gender do..  [Other]","On average, how.. ","When did you st.. ","Last time I cre.. ","On average, how.. ","Total time","Group time: Step 1","Question time: SC","Question time: CC1","Question time: CC2","Question time: CC3","Question time: .. ","Question time: .. ","Group time: Step 2","Question time: PT1","Question time: PT2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 3","Question time: ID1","Question time: ID2","Question time: ID3","Question time: PA1","Question time: PA2","Question time: PA3","Group time: Step 4","Question time: SD1","Question time: SD2","Question time: SD3","Question time: SD4","Question time: PA4","Group time: Step 5","Question time: .. ","Question time: .. ","Question time: .. ","Question time: SE1","Question time: .. ","Question time: .. ","Group time: Step 6","Question time: SE3","Question time: .. ","Question time: SE5","Question time: SE4","Question time: SE2","Question time: SE6","Group time: Step 7","Question time: ES1","Question time: ES2","Question time: ES3","Question time: ES4","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Step 8","Question time: PT3","Question time: PT4","Group time: Step 9","Question time: HB1","Question time: HB2","Question time: HB3","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: CI1","Question time: CI3","Question time: CI2","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Question time: .. ","Group time: Ste.. ","Question time: PD6","Question time: PD1","Question time: PD2","Question time: .. ","Question time: PD4","Question time: PD5","Question time: .. "
"33","2024-12-30 01:42:08","12","en","571386007","2024-12-30 01:31:59","2024-12-30 01:42:08",,"","Yes","No","10","Yes","No","No","No","No","No","","No","No","5","5","2","2","3","3","5","4","5","4","3","5","5","5","5","3","5","5","5","4","4","2","4","2","5","4","4","4","4","4","4","4","5","3","3","4","4","4","4","3","2","2","1","5","5","4","3","4","4","3","2","3","2","3","3","Argentina","33","Male","","0","2012-05-01 00:00:00","Yesterday","0","611.76","80.83",,,,,,,"67.01",,,,,,"72.32",,,,,,,,,,,,,"150.89",,,,,,,"29.99",,,,,,,,,,,,,,,,,,"47.57",,,,,,,"49.23",,,,,,,"13.53",,,,,,,"100.39",,,,,,,
"34",,"4","en","1356234310","2024-12-30 02:06:36","2024-12-30 02:08:18",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","Yes","5",,,,,,,,"3",,,"4",,"3",,,"5",,,,,,"5","1",,"5",,,"3",,"5",,"4",,,,,,,"4","1",,,"5","5","5","4","5","4",,,,,,,,,,,,,,,"103.76",,,,,,,,,,,,,,,,,,,,,"28.54",,,,,,,,,,,,,,,,,,,,"12.41",,,,,,,,,,,"21.74",,,,,,,"41.07",,,,,,,,,,,,,,,,,,,,,
"35","2024-12-30 06:22:37","12","en","779742082","2024-12-30 06:14:14","2024-12-30 06:22:37",,"","Yes","No","13","Yes","No","No","No","No","No","","No","Yes","5","5","4","4","4","1","2","4","2","3","2","3","5","3","4","1","5","5","4","3","4","1","5","2","2","5","4","3","5","4","5","5","2","3","3","5","5","4","3","2","1","1","1","4","5","3","4","3","2","3","3","4","4","2","3","Australia","16","Male","","0","2022-04-16 00:00:00","Today","0","506.3","46.51",,,,,,,"28.63",,,,,,"10.28",,,,,,,"102.14",,,,,,,,,,,,,,,,,,,,"104.3",,,,,,,,,,,"37.65",,,,,,,"29.68",,,,,,,,,,,,,,"147.11",,,,,,,
"36","2024-12-30 08:22:28","12","en","2025266298","2024-12-30 08:10:35","2024-12-30 08:22:28",,"","Yes","No","10","Yes","No","No","No","No","No","","No","Yes","5","5","4","5","4","4","4","4","3","4","1","5","5","5","5","1","5","5","5","5","5","1","5","3","4","5","5","4","5","3","4","5","2","5","2","5","5","4","4","4","1","1","1","5","5","4","5","3","4","1","1","1","4","2","2","Canada","18","Male","","0","2024-09-01 00:00:00","Yesterday","0","716.59",,,,,,,,,,,,,,"227.58",,,,,,,"143.74",,,,,,"50.84",,,,,,,,,,,,,,"94.13",,,,,,,,,,,,,,,,,,"76.02",,,,,,,"31.43",,,,,,,"92.85",,,,,,,
"37",,,"en","1238184599","2024-12-30 15:27:32","2024-12-30 15:27:32",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38",,,"en","1033304024","2024-12-30 15:35:39","2024-12-30 15:35:39",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39",,"5","en","1254535684","2024-12-30 16:23:40","2024-12-30 16:26:53",,"","No","Yes","12","N/A","N/A","N/A","N/A","N/A","N/A",,"Yes","N/A",,"4",,"3","5","4","4",,,,,"4","4","5","4","3",,,,"4","5","3",,,,,"4","3",,"2",,,,,,"4",,,"3",,,"4","3","4","5","3","4","4","4",,,"5",,,,,,,,,,,,"194.92","46.49",,,,,,,"45.5",,,,,,"26.52",,,,,,,"49.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.89",,,,,,,,,,,,,,,,,,,,,
"40","2024-12-31 00:30:34","12","en","1208588592","2024-12-31 00:16:55","2024-12-31 00:30:34",,"","Yes","Yes","1","Yes","No","No","Yes","Yes","No","","Yes","Yes","5","5","5","5","5","2","4","5","5","1","1","4","5","4","3","1","5","5","5","3","5","1","5","1","3","5","3","4","4","1","5","3","2","3","1","5","5","4","3","4","1","1","1","5","5","4","5","4","3","2","3","1","5","3","5","United States","27","Female","","0",,"In this year","0","821.32",,,,,,,,,,,,,,"36.77",,,,,,,,,,,,,"119.15",,,,,,,"203.17",,,,,,,"181.37",,,,,,,,,,,,,,,,,,"56.97",,,,,,,"162.47",,,,,,,"61.42",,,,,,,
"41","2025-01-01 09:16:20","12","en","976978754","2025-01-01 08:59:20","2025-01-01 09:16:20",,"","Yes","No","3","No","No","No","No","No","Yes","","No","Yes","4","4","4","4","4","3","2","4","4","5","1","5","4","4","4","1","5","4","4","4","4","1","5","2","4","4","3","4","2","2","3","3","2","3","3","5","5","2","4","1","3","1","2","3","3","2","4","4","3","2","2","2","3","3","3","Philippines","15","Male","","0","2020-02-03 00:00:00","Yesterday","0","966.46",,,,,,,,"42.74",,,,,,"250.31",,,,,,,"87.72",,,,,,"118.99",,,,,,,"93.01",,,,,,,,,,,,,,,"99.1",,,,,,,,,,"91",,,,,,,"30.56",,,,,,,"153.03",,,,,,,
"42",,,"en","401654890","2025-01-01 13:26:21","2025-01-01 13:26:21",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","2025-01-01 13:51:31","12","en","1975749337","2025-01-01 13:29:51","2025-01-01 13:51:31",,"","No","Yes","25","Yes","No","No","No","No","No","","Yes","Yes","5","5","5","5","5","3","4","5","4","3","3","5","5","5","4","3","5","5","5","4","5","1","5","3","3","5","4","5","5","5","4","5","4","4","4","5","5","5","5","5","1","1","1","5","5","4","4","5","3","3","5","5","5","5","5","Deutschland","16","Male","","0","2016-01-01 00:00:00","Yesterday","0","1302.36","136.31",,,,,,,,,,,,,"89.82",,,,,,,"99.88",,,,,,"44.63",,,,,,,"350.58",,,,,,,,,,,,,,,"117.72",,,,,,,,,,"294.12",,,,,,,"83.92",,,,,,,"85.38",,,,,,,
"44",,"11","en","726347861","2025-01-01 13:51:23","2025-01-01 13:58:38",,"","Yes","No","6","Yes","No","No","No","No","No","","No","No","4","4","4","3","3","3","3","4","1","1","1","2","5","5","3","1","4","3","3","3","4","1","5","1","2","2","2","4","2","3","4","2","1","1","2","4","4","3","3","2","1","1","1","2","3","2","4","4","3","1","3","2","3","3","2",,,,,,,,,"436.61",,,,,,,,"26.85",,,,,,"62.11",,,,,,,,,,,,,,,,,,,,"114.23",,,,,,,"44.01",,,,,,,,"32.14",,,"81.3",,,,,,,"47.6",,,,,,,"28.37",,,,,,,,,,,,,,
"45","2025-01-01 21:20:08","12","en","1234209991","2025-01-01 20:49:25","2025-01-01 21:20:08",,"","No","Yes","20","Yes","No","No","No","Yes","No","","Yes","Yes","5","5","5","5","5","3","5","2","1","4","1","5","5","5","5","1","5","5","4","3","4","5","5","3","3","4","3","4","5","4","4","4","3","2","5","5","5","4","5","3","2","5","5","5","5","5","5","1","3","1","5","5","4","5","5","Germany","17","Male","","100","2023-09-03 00:00:00","Today","0","1845.18",,,,,,,,,,,,,,"670.21",,,,,,,"90.32",,,,,,"114.68",,,,,,,,,,,,,,"132.39",,,,,,,,"349.41",,,,,,,,,,"179.27",,,,,,,"109.88",,,,,,,"199.02",,,,,,,
"46",,"2","en","2082822161","2025-01-02 00:25:01","2025-01-02 00:26:00",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","3","5",,,,,,,,,,"4","3",,,,,,,"3",,"1",,"1",,,,,"2",,"2",,,,,,"3",,,,,,,,,,,,,,"3","1",,,,,,,,,,,,"59.21",,,,,,,,,,,,,,,,,,,,,,,,,,,"23.8",,,,,,,,,,,,,,,,,,,,,,"35.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47",,"3","en","1844942801","2025-01-02 20:07:46","2025-01-02 20:18:02",,,"N/A","N/A","20","N/A","N/A","N/A","N/A","N/A","N/A",,"No","N/A",,"5",,,"3",,"4","3",,,,,"4",,"4",,,"4","4","2","5",,,,,,,"2",,,,,"2",,,,,"3",,,"1",,"1",,,,,,,"2",,,"5",,,,,,,,,,,"616.56",,,,,,,,,,,,,,,,,,,,,,,,,,,"259.36",,,,,,,,,,,,,,"357.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48",,,"en","588769817","2025-01-02 20:54:14","2025-01-02 20:54:14",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","2025-01-03 17:19:01","12","en","32287706","2025-01-03 17:04:17","2025-01-03 17:19:01",,"","No","Yes","17","Yes","No","No","No","No","No","","Yes","No","5","5","3","4","5","4","4","4","1","2","1","4","5","3","5","1","4","4","4","2","5","1","5","2","2","5","3","2","2","4","2","2","1","2","2","5","4","3","4","4","1","1","1","5","4","2","4","4","2","5","5","4","4","4","2","Brazil","21","Male","","0","2012-02-01 00:00:00","Yesterday","0","889.26",,,,,,,,,,,,,,"48.19",,,,,,,"33.56",,,,,,"16.59",,,,,,,"38.69",,,,,,,"213.65",,,,,,,,,,,"35.4",,,,,,,"39.58",,,,,,,"32.11",,,,,,,"431.49",,,,,,,
"50","2025-01-03 17:26:40","12","en","1539881688","2025-01-03 17:16:16","2025-01-03 17:26:40",,"","Yes","No","12","Yes","No","No","No","Yes","No","Books for children","Yes","Yes","3","4","4","2","3","2","4","4","3","3","2","3","4","4","2","2","4","4","3","3","2","5","4","3","3","5","2","2","4","5","2","5","4","1","4","3","5","4","3","3","5","5","5","2","4","3","4","2","2","2","5","2","3","4","4","The Netherlands","20","Male","","150","2014-04-17 00:00:00","In the last 6 months","0","626.37",,,,,,,,"58.37",,,,,,"36.25",,,,,,,,,,,,,"70.69",,,,,,,"80.71",,,,,,,,,,,,,,,"96.74",,,,,,,,,,"135.19",,,,,,,"30.92",,,,,,,"117.5",,,,,,,
"51",,"1","en","1517826420","2025-01-03 17:22:28","2025-01-03 17:22:43",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,"5",,,,,,,"5",,,,,,,,,,,,,,,,,,,,,"5",,"5","5",,,,,,,,,,,,,,,,"5",,"5",,,,,,,,,"14.06",,,,,,,,,,,,,,,,,,,,,"14.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52",,"4","en","1337926547","2025-01-03 18:21:32","2025-01-03 18:26:17",,,"N/A","N/A","15","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","Yes","5","5","5","3",,,,"3",,,"3",,"5",,,,"4",,,,,,,"1","3","5","4",,,,"3",,"3",,"3",,,"5","5",,,"1",,,,,,,,"1","1","1",,,,,,,,,,,,"285.35",,,,,,,,,,,,,,"154.31",,,,,,,,,,,,,,,,,,,,"47.39",,,,,,,"46.9",,,,,,,,,,,,,,,,,,,,,,,,,"36.75",,,,,,,,,,,,,,
"53","2025-01-03 20:02:39","12","en","656478292","2025-01-03 19:54:04","2025-01-03 20:02:39",,"","No","Yes","20","Yes","No","No","No","No","No","","Yes","Yes","4","3","5","4","2","4","4","2","3","2","2","5","4","4","3","2","4","3","4","2","4","2","3","2","1","2","2","1","1","1","1","1","2","1","3","3","3","3","3","2","2","2","2","3","4","3","4","1","3","3","4","4","3","4","3","germany","16","Male","","0","2022-03-25 00:00:00","Today","0","513.45",,,,,,,,,,,,,,"23.26",,,,,,,,,,,,,"102.45",,,,,,,"33.81",,,,,,,"68.13",,,,,,,,,,,"51.47",,,,,,,"67.56",,,,,,,"73.15",,,,,,,"93.62",,,,,,,
"54","2025-01-04 07:34:53","12","en","2116963937","2025-01-04 07:17:52","2025-01-04 07:34:53",,"","Yes","No","84","Yes","No","Yes","Yes","No","No","addons (mods for bedrock)","Yes","Yes","5","4","4","4","4","5","4","5","3","3","3","4","4","5","4","3","5","5","4","4","4","3","4","1","5","5","4","1","1","3","3","3","3","3","4","5","5","4","4","2","2","4","3","5","5","5","5","2","5","1","1","4","4","4","4","Argentina","24","Male","","200","2019-01-04 00:00:00","This month","0","1024.62",,,,,,,,"135.27",,,,,,"184.88",,,,,,,"71.65",,,,,,,,,,,,,"51.23",,,,,,,,,,,,,,,,,,"120.04",,,,,,,"68.74",,,,,,,"186.42",,,,,,,"206.39",,,,,,,
"55",,"2","en","1828707355","2025-01-04 09:09:03","2025-01-04 09:10:17",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,"5",,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,"4",,"5",,"4","4","4","4","5","4","4",,,,,,,,,,,,,,,"74.58",,,,,,,,"26.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.83",,,,,,,,,,,,,,,,,,,,,
"56",,"-1","en","1192770058","2025-01-04 11:19:27","2025-01-04 11:19:41",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,"",,,,,"",,,,,,,"",,,,,,,,,,"",,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,"5.54",,,,,,,,,,,,,,,,,,,,,,,,,,,"5.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57","2025-01-04 14:59:18","12","en","928755983","2025-01-04 14:48:31","2025-01-04 14:59:18",,"","Yes","Yes","16","Yes","No","No","No","Yes","No","Server","Yes","Yes","5","5","5","5","4","2","3","5","4","3","3","5","5","5","5","4","5","5","5","4","5","1","5","1","4","5","5","4","5","4","5","5","2","5","3","5","5","5","5","1","1","1","1","5","5","4","5","5","1","3","1","2","4","4","4","United Kingdom","16","Male","","0","2020-08-20 00:00:00","Yesterday","0","648.43",,,,,,,,"63.59",,,,,,,,,,,,,"75.32",,,,,,,,,,,,,,,,,,,,"86.64",,,,,,,,"37.59",,,"97.32",,,,,,,"49.32",,,,,,,"135.37",,,,,,,"103.28",,,,,,,
"58","2025-01-04 16:21:57","12","en","249706614","2025-01-04 16:08:59","2025-01-04 16:21:57",,"","Yes","Yes","3","No","Yes","No","Yes","No","No","","Yes","No","5","4","5","5","4","5","5","4","5","2","4","5","5","5","4","3","4","5","3","4","5","3","4","1","3","4","4","4","3","4","5","4","3","3","2","4","4","3","5","5","4","3","1","5","5","4","5","4","4","5","3","5","5","4","5","Poland ,Europe","16","Male","","0","2016-03-21 00:00:00","Yesterday","0","782.42",,,,,,,,"123.18",,,,,,"172.23",,,,,,,"43.79",,,,,,,,,,,,,"182.57",,,,,,,"81.18",,,,,,,,,,,,,,,,,,"58.94",,,,,,,,,,,,,,"120.53",,,,,,,
"59",,"1","en","1237762804","2025-01-04 19:09:54","2025-01-04 19:10:05",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,"11.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60","2025-01-04 20:58:15","12","en","1565145447","2025-01-04 20:50:04","2025-01-04 20:58:15",,"","Yes","Yes","5","Yes","No","No","No","Yes","No","","Yes","Yes","4","4","4","4","4","2","2","4","2","3","2","3","3","3","2","4","4","5","3","2","3","1","4","1","2","4","3","2","5","1","5","3","2","2","2","5","4","2","2","1","1","1","1","5","5","4","4","4","3","1","3","2","2","2","2","Luxembourg","18","Male","","0","2019-01-01 00:00:00","This week","0","495.98","106.89",,,,,,,,,,,,,"29.24",,,,,,,"28.3",,,,,,"46.46",,,,,,,"93.15",,,,,,,,,,,,,,,,,,"70.1",,,,,,,"28.62",,,,,,,"10.37",,,,,,,"82.85",,,,,,,
"61",,"2","en","361601423","2025-01-04 20:57:21","2025-01-04 20:58:10",,,"N/A","N/A",,"Yes","No","No","No","No","No","","N/A","N/A","5",,"4","5",,"5",,"5","3","4",,,,"4",,,"4",,,"3",,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,"50.31",,,,,,,,"24.5",,,,,,,,,,,,,"25.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62","2025-01-04 22:12:37","12","en","1345629914","2025-01-04 22:07:04","2025-01-04 22:12:37",,"","No","Yes","10","Yes","No","No","No","No","No","","Yes","Yes","5","4","4","5","5","4","5","4","2","4","2","5","5","3","3","2","5","5","5","3","4","2","4","3","3","5","3","3","3","4","2","4","3","3","4","4","5","5","4","4","1","1","1","5","5","4","5","4","3","3","4","4","4","5","5","Canada","47","Female","","0","2018-01-04 00:00:00","Today","0","334.38","28.82",,,,,,,,,,,,,"21.88",,,,,,,"20.2",,,,,,"75.29",,,,,,,"29.98",,,,,,,"23.52",,,,,,,,,,,"47.01",,,,,,,"32.55",,,,,,,,,,,,,,"55.13",,,,,,,
"63",,,"en","305150094","2025-01-04 22:46:00","2025-01-04 22:46:00",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64","2025-01-04 23:42:59","12","en","677325971","2025-01-04 23:37:05","2025-01-04 23:42:59",,"","Yes","Yes","15","Yes","No","Yes","Yes","No","No","Lore and roleplay ","Yes","Yes","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","USA ","24","Female","","1","2000-10-04 00:00:00","In the last 6 months","2400","354.86","73.92",,,,,,,"21.24",,,,,,"48.81",,,,,,,,,,,,,"9.13",,,,,,,"11.61",,,,,,,"42.3",,,,,,,,,,,"11.28",,,,,,,"67.34",,,,,,,,,,,,,,"69.23",,,,,,,
"65","2025-01-05 00:51:43","12","en","848025479","2025-01-05 00:27:04","2025-01-05 00:51:43",,"","No","Yes","6","Yes","Yes","No","No","No","No","","Yes","Yes","4","4","5","4","4","4","4","4","3","3","3","4","4","5","4","3","4","4","4","4","4","3","4","3","3","4","4","4","4","3","4","4","3","4","4","4","4","4","4","4","3","2","3","4","4","3","4","4","4","4","4","4","4","4","4","Canada","17","Male","","0","2021-03-11 00:00:00","This week","0","1416.64",,,,,,,,"74.11",,,,,,"25.87",,,,,,,"20.98",,,,,,"74.95",,,,,,,,,,,,,,"239.49",,,,,,,,,,,"397.11",,,,,,,"44.19",,,,,,,"85.33",,,,,,,"454.61",,,,,,,
"66",,,"en","351815082","2025-01-05 09:36:13","2025-01-05 09:36:13",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67","2025-01-05 11:17:26","12","en","1595285509","2025-01-05 10:44:15","2025-01-05 11:17:26",,"","No","Yes","5","Yes","No","No","No","No","No","","No","Yes","5","5","4","5","5","4","4","5","3","3","3","4","5","5","4","3","5","5","5","3","5","2","5","3","5","5","4","3","4","3","4","5","4","5","3","5","5","4","3","4","3","3","3","5","5","4","5","5","5","4","4","5","5","5","3","Romania ","17","Male","","0","2019-06-01 00:00:00","This week","0","1891.18",,,,,,,,,,,,,,"122.92",,,,,,,,,,,,,"1097.06",,,,,,,"145.81",,,,,,,,,,,,,,,,,,"125.82",,,,,,,"50.5",,,,,,,"175.12",,,,,,,"173.95",,,,,,,
"68","2025-01-05 18:21:42","12","en","233355932","2025-01-05 18:06:09","2025-01-05 18:21:42",,"","No","Yes","2","Yes","Yes","No","No","Yes","No","","Yes","Yes","4","5","5","5","5","3","5","5","1","1","1","3","5","3","4","1","5","5","5","4","5","1","5","2","3","5","5","4","5","3","5","5","5","4","4","5","5","5","5","4","1","1","1","5","4","4","5","4","4","5","5","5","5","4","3","Germany","25","Female","","0","2020-04-13 00:00:00","In this year","0","936.55",,,,,,,,"95.81",,,,,,"41.79",,,,,,,,,,,,,,,,,,,,"73.14",,,,,,,"441.67",,,,,,,,,,,"85.16",,,,,,,"34.48",,,,,,,"60.66",,,,,,,"103.84",,,,,,,
"69","2025-01-05 18:25:32","12","en","1791166201","2025-01-05 18:18:02","2025-01-05 18:25:32",,"","No","Yes","15","Yes","No","Yes","Yes","Yes","No","","Yes","Yes","3","3","5","4","5","3","5","4","5","4","4","5","5","5","4","3","3","5","5","5","5","2","5","5","5","5","5","5","3","3","4","2","4","5","5","5","5","5","4","4","5","4","2","5","5","3","5","3","4","2","5","5","5","5","5","China","30","Diverse","","0","2013-08-13 00:00:00","Today","0","447.94","58.2",,,,,,,,,,,,,"17.78",,,,,,,"14.27",,,,,,"96.31",,,,,,,"77.41",,,,,,,,,,,,,,,,,,"25.55",,,,,,,"27.91",,,,,,,"30.06",,,,,,,"100.45",,,,,,,
"70","2025-01-05 19:25:49","12","en","1468075728","2025-01-05 19:08:15","2025-01-05 19:25:49",,"","No","Yes","20","No","Yes","No","Yes","No","No","small builds like furniture or plants","Yes","Yes","5","5","4","5","4","5","5","5","2","4","3","4","5","5","5","3","5","5","5","4","5","1","5","4","5","5","5","5","5","4","5","5","4","4","5","5","5","5","4","5","3","1","2","5","5","4","5","4","4","5","4","5","5","5","5","Poland","16","Male","","0","2020-04-14 00:00:00","Yesterday","0","1058.83","161.14",,,,,,,"89.71",,,,,,,,,,,,,,,,,,,"73.54",,,,,,,"12.64",,,,,,,"155.93",,,,,,,,,,,"61.23",,,,,,,"111.87",,,,,,,"135.86",,,,,,,"256.91",,,,,,,
"71","2025-01-05 19:21:12","12","en","1914028954","2025-01-05 19:10:54","2025-01-05 19:21:12",,"","Yes","Yes","4","No","No","Yes","No","Yes","No","Servers","Yes","No","4","4","4","4","5","4","4","4","4","4","2","5","4","4","4","3","4","5","5","4","4","4","5","3","2","2","4","4","4","5","3","4","4","3","5","5","4","2","4","2","1","1","1","4","4","3","2","3","1","5","3","5","3","3","4","France","16","Male","","0","2022-10-01 00:00:00","This month","0","620.34","94.99",,,,,,,,,,,,,,,,,,,,"47.8",,,,,,,,,,,,,"43.82",,,,,,,"91.69",,,,,,,,,,,"93.69",,,,,,,"34.16",,,,,,,"92.12",,,,,,,"122.07",,,,,,,
"72",,"4","en","637643682","2025-01-05 22:20:13","2025-01-05 22:22:53",,"","No","Yes","5","Yes","No","No","No","No","No","","Yes","N/A","5",,"5","4",,,"5",,,,"3",,"4","5","4",,,,,"3",,"1",,"4",,,,,"3","5","5",,,,,"4",,,,,,,,,,,,,,,,,,"5",,,,,,,,,,"159.83","49.37",,,,,,,"47.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.36",,,,,,,,"34.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73",,"1","en","558224394","2025-01-05 23:47:18","2025-01-05 23:48:05",,,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,,,"5",,"4",,,,,,,,,,,,,,,,"1",,,"4",,,,,,,,,,,,,,"5",,,,"1",,,,,,,,,,,,,,,,,,,,,"47.16",,,,,,,,,,,,,,"47.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
